LocationWell;location_id;date;AccumulationFinal
109;109;2009-07-01;1.4
109;109;2009-07-02;2.4
109;109;2009-07-03;0.4
109;109;2009-07-04;0.0
109;109;2009-07-05;0.0
109;109;2009-07-06;0.0
109;109;2009-07-07;0.0
109;109;2009-07-08;0.0
109;109;2009-07-09;0.0
109;109;2009-07-10;0.0
109;109;2009-07-11;4.199999999999999
109;109;2009-07-12;0.0
109;109;2009-07-13;0.0
109;109;2009-07-14;0.0
109;109;2009-07-15;0.0
109;109;2009-07-16;0.0
109;109;2009-07-17;0.8
109;109;2009-07-18;0.6000000000000001
109;109;2009-07-19;0.2
109;109;2009-07-20;0.0
109;109;2009-07-21;0.0
109;109;2009-07-22;1.8
109;109;2009-07-23;9.0
109;109;2009-07-24;0.4
109;109;2009-07-25;9.0
109;109;2009-07-26;0.6000000000000001
109;109;2009-07-27;0.0
109;109;2009-07-28;0.8
109;109;2009-07-29;12.0
109;109;2009-07-30;0.0
109;109;2009-07-31;0.2
109;109;2009-08-01;0.0
109;109;2009-08-02;0.0
109;109;2009-08-03;0.0
109;109;2009-08-04;0.0
109;109;2009-08-05;0.0
109;109;2009-08-06;0.0
109;109;2009-08-07;0.0
109;109;2009-08-08;35.80000000000001
109;109;2009-08-09;9.200000000000001
109;109;2009-08-10;11.6
109;109;2009-08-11;0.0
109;109;2009-08-12;0.0
109;109;2009-08-13;0.2
109;109;2009-08-14;0.0
109;109;2009-08-15;0.0
109;109;2009-08-16;0.0
109;109;2009-08-17;0.0
109;109;2009-08-18;0.4
109;109;2009-08-19;0.0
109;109;2009-08-20;8.0
109;109;2009-08-21;0.0
109;109;2009-08-22;0.0
109;109;2009-08-23;0.0
109;109;2009-08-24;0.0
109;109;2009-08-25;0.0
109;109;2009-08-26;0.0
109;109;2009-08-27;0.0
109;109;2009-08-28;0.0
109;109;2009-08-29;0.0
109;109;2009-08-30;0.0
109;109;2009-08-31;0.0
109;109;2009-09-01;0.0
109;109;2009-09-02;0.0
109;109;2009-09-03;0.0
109;109;2009-09-04;0.0
109;109;2009-09-05;0.0
109;109;2009-09-06;0.0
109;109;2009-09-07;4.800000000000001
109;109;2009-09-08;0.6000000000000001
109;109;2009-12-03;0.0
109;109;2009-12-04;0.0
109;109;2009-12-05;0.0
109;109;2009-12-06;0.0
109;109;2009-12-07;0.0
109;109;2009-12-08;0.0
109;109;2009-12-09;28.8
109;109;2009-12-10;0.0
109;109;2009-12-11;0.0
109;109;2009-12-12;0.0
109;109;2009-12-13;0.0
109;109;2009-12-14;0.0
109;109;2009-12-15;0.0
109;109;2009-12-16;0.0
109;109;2009-12-17;0.0
109;109;2009-12-18;0.0
109;109;2009-12-19;0.0
109;109;2009-12-20;0.0
109;109;2009-12-21;0.0
109;109;2009-12-22;0.0
109;109;2009-12-23;0.0
109;109;2009-12-24;0.0
109;109;2009-12-25;0.0
109;109;2009-12-26;0.0
109;109;2009-12-27;0.0
109;109;2009-12-28;0.0
109;109;2009-12-29;0.0
109;109;2009-12-30;0.0
109;109;2009-12-31;0.0
109;109;2010-07-01;0.0
109;109;2010-07-02;0.0
109;109;2010-07-03;0.0
109;109;2010-07-04;0.0
109;109;2010-07-05;0.0
109;109;2010-07-06;0.0
109;109;2010-07-07;0.0
109;109;2010-07-08;1.6
109;109;2010-07-09;19.599999999999998
109;109;2010-07-10;0.0
109;109;2010-07-11;0.2
109;109;2010-07-12;12.400000000000002
109;109;2010-07-13;0.2
109;109;2010-07-14;0.0
109;109;2010-07-15;25.6
109;109;2010-07-16;0.0
109;109;2010-07-17;0.0
109;109;2010-07-18;5.4
109;109;2010-07-19;0.0
109;109;2010-07-20;0.0
109;109;2010-07-21;0.0
109;109;2010-07-22;0.0
109;109;2010-07-23;25.799999999999997
109;109;2010-07-24;0.4
109;109;2010-07-25;1.0
109;109;2010-07-26;0.0
109;109;2010-07-27;0.0
109;109;2010-07-28;0.6000000000000001
109;109;2010-07-29;0.2
109;109;2010-07-30;0.0
109;109;2010-07-31;0.0
109;109;2010-08-01;0.0
109;109;2010-08-02;0.0
109;109;2010-08-03;0.0
109;109;2010-08-04;4.0
109;109;2010-08-05;3.4000000000000004
109;109;2010-08-06;0.0
109;109;2010-08-07;0.0
109;109;2010-08-08;0.0
109;109;2010-08-09;1.9999999999999998
109;109;2010-08-10;0.2
109;109;2010-08-11;5.199999999999999
109;109;2010-08-12;1.0
109;109;2010-08-13;0.0
109;109;2010-08-14;0.0
109;109;2010-08-15;0.0
109;109;2010-08-16;0.0
109;109;2010-08-17;0.0
109;109;2010-08-18;0.0
109;109;2010-08-19;8.2
109;109;2010-08-20;0.0
109;109;2010-08-21;3.8000000000000007
109;109;2010-08-22;0.2
109;109;2010-08-23;0.0
109;109;2010-08-24;0.0
109;109;2010-08-25;0.0
109;109;2010-08-26;0.0
109;109;2010-08-27;0.0
109;109;2010-08-28;0.0
109;109;2010-08-29;0.0
109;109;2010-08-30;0.0
109;109;2010-08-31;0.0
109;109;2010-09-01;0.0
109;109;2010-09-02;5.4
109;109;2010-09-03;1.8
109;109;2010-09-04;0.0
109;109;2010-09-05;0.0
109;109;2010-09-06;0.4
109;109;2010-09-07;0.0
109;109;2010-09-08;0.0
109;109;2010-09-09;0.0
109;109;2010-09-10;0.2
109;109;2010-09-11;5.6000000000000005
109;109;2010-09-12;0.0
109;109;2010-09-13;0.2
109;109;2010-09-14;0.0
109;109;2010-09-15;0.0
109;109;2010-09-16;14.799999999999999
109;109;2010-09-17;0.2
109;109;2010-09-18;1.2
109;109;2010-09-19;0.0
109;109;2010-09-20;0.0
109;109;2010-09-21;0.0
109;109;2010-09-22;7.6000000000000005
109;109;2010-09-23;0.0
109;109;2010-09-24;0.0
109;109;2010-09-25;0.0
109;109;2010-09-26;0.0
109;109;2010-09-27;1.7999999999999998
109;109;2010-09-28;28.799999999999994
109;109;2010-09-29;0.2
109;109;2010-09-30;0.0
109;109;2010-10-01;0.0
109;109;2010-10-02;21.39999999999999
109;109;2010-10-03;0.2
109;109;2010-10-04;0.0
109;109;2010-10-05;0.0
109;109;2010-10-06;0.2
109;109;2010-10-07;0.0
109;109;2010-10-08;0.0
109;109;2010-10-09;0.0
109;109;2010-10-10;0.0
109;109;2010-10-11;9.2
109;109;2010-10-12;0.0
109;109;2010-10-13;5.2
109;109;2010-10-14;21.599999999999994
109;109;2010-10-15;8.0
109;109;2010-10-16;0.0
109;109;2010-10-17;0.0
109;109;2010-10-18;0.0
109;109;2010-10-19;0.4
109;109;2010-10-20;6.8
109;109;2010-10-21;5.2
109;109;2010-10-22;0.2
109;109;2010-10-23;1.2
109;109;2010-10-24;0.0
109;109;2010-10-25;0.2
109;109;2010-10-26;5.6000000000000005
109;109;2010-10-27;95.0
109;109;2010-10-28;0.4
109;109;2010-10-29;0.0
109;109;2010-10-30;0.0
109;109;2010-10-31;0.0
109;109;2010-11-01;0.0
109;109;2010-11-02;0.0
109;109;2010-11-03;0.2
109;109;2010-11-04;17.0
109;109;2010-11-05;6.0
109;109;2010-11-06;0.0
109;109;2010-11-07;0.0
109;109;2010-11-08;0.0
109;109;2010-11-09;0.0
109;109;2010-11-10;0.0
109;109;2010-11-11;0.0
109;109;2010-11-12;0.0
109;109;2010-11-13;0.2
109;109;2010-11-14;7.000000000000001
109;109;2010-11-15;0.0
109;109;2010-11-16;15.4
109;109;2010-11-17;6.400000000000001
109;109;2010-11-18;0.0
109;109;2010-11-19;0.0
109;109;2010-11-20;0.0
109;109;2010-11-21;0.0
109;109;2010-11-22;8.0
109;109;2010-11-23;13.999999999999998
109;109;2010-11-24;0.0
109;109;2010-11-25;17.799999999999997
109;109;2010-11-26;33.8
109;109;2010-11-27;7.4
109;109;2010-11-28;0.0
109;109;2010-11-29;0.0
109;109;2010-11-30;26.599999999999998
109;109;2011-05-17;4.6000000000000005
109;109;2011-05-18;10.6
109;109;2011-05-19;0.4
109;109;2011-05-20;0.0
109;109;2011-05-21;0.0
109;109;2011-05-22;13.399999999999999
109;109;2011-05-23;12.799999999999997
109;109;2011-05-24;0.0
109;109;2011-05-25;30.4
109;109;2011-05-26;11.6
109;109;2011-05-27;2.6
109;109;2011-05-28;2.0
109;109;2011-05-29;4.3999999999999995
109;109;2011-05-30;0.0
109;109;2011-05-31;35.6
109;109;2011-07-01;0.0
109;109;2011-07-02;26.799999999999997
109;109;2011-07-03;0.0
109;109;2011-07-04;0.0
109;109;2011-07-05;0.0
109;109;2011-07-06;0.0
109;109;2011-07-07;0.0
109;109;2011-07-08;0.0
109;109;2011-07-09;0.0
109;109;2011-07-10;0.0
109;109;2011-07-11;0.4
109;109;2011-07-12;0.0
109;109;2011-07-13;0.0
109;109;2011-07-14;0.0
109;109;2011-07-15;0.0
109;109;2011-07-16;0.0
109;109;2011-07-17;0.0
109;109;2011-07-18;1.8
109;109;2011-07-19;3.8000000000000003
109;109;2011-07-20;0.0
109;109;2011-07-21;0.0
109;109;2011-07-22;0.0
109;109;2011-07-23;0.4
109;109;2011-07-24;0.0
109;109;2011-07-25;0.0
109;109;2011-07-26;0.0
109;109;2011-07-27;0.2
109;109;2011-07-28;16.999999999999996
109;109;2011-07-29;12.8
109;109;2011-07-30;0.0
109;109;2011-07-31;0.0
109;109;2011-08-01;18.599999999999998
109;109;2011-08-02;1.5999999999999999
109;109;2011-08-03;1.2
109;109;2011-08-04;0.0
109;109;2011-08-05;0.0
109;109;2011-08-06;4.2
109;109;2011-08-07;12.6
109;109;2011-08-08;1.2
109;109;2011-08-09;25.6
